CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT),PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Combined_Pollutant,AQI_Category
1.6,-200.0,6.2,89.0,84.0,1203.0,823.0,1004.0,1526.0,903.0,15.6,56.6,0.9951,85.6,Hazardous
1.1,-200.0,4.0,55.0,66.0,1062.0,711.0,1136.0,1461.0,700.0,14.9,60.6,1.0196,67.1,Hazardous
0.7,-200.0,2.1,24.0,36.0,947.0,594.0,1300.0,1390.0,580.0,14.5,63.0,1.0316,36.7,Very Unhealthy
0.8,-200.0,3.6,72.0,62.0,1065.0,687.0,1143.0,1492.0,815.0,14.2,66.2,1.063,62.8,Hazardous
1.2,-200.0,4.4,122.0,91.0,1155.0,734.0,1062.0,1528.0,1035.0,14.5,65.3,1.0704,92.2,Hazardous
1.4,-200.0,5.4,111.0,89.0,1220.0,782.0,996.0,1560.0,1067.0,15.3,62.1,1.073,90.4,Hazardous
1.7,-200.0,7.1,123.0,93.0,1301.0,862.0,914.0,1633.0,1114.0,16.3,59.0,1.0868,94.7,Hazardous
1.8,-200.0,7.3,106.0,81.0,1279.0,870.0,911.0,1646.0,1000.0,18.9,49.6,1.07,82.8,Hazardous
1.8,-200.0,7.6,103.0,82.0,1267.0,883.0,953.0,1617.0,906.0,19.4,46.1,1.0249,83.8,Hazardous
1.9,-200.0,6.8,102.0,80.0,1239.0,848.0,981.0,1568.0,822.0,20.8,41.6,1.0091,81.9,Hazardous
1.3,-200.0,4.6,48.0,48.0,1128.0,742.0,1144.0,1507.0,610.0,21.4,40.3,1.0126,49.3,Hazardous
1.6,-200.0,8.4,63.0,61.0,1243.0,916.0,962.0,1669.0,657.0,21.2,39.3,0.9791,62.6,Hazardous
1.9,-200.0,6.9,98.0,89.0,1208.0,853.0,1060.0,1506.0,647.0,20.3,38.0,0.8942,90.9,Hazardous
1.9,-200.0,7.9,112.0,93.0,1211.0,896.0,920.0,1624.0,1066.0,16.4,55.1,1.0198,94.9,Hazardous
1.7,-200.0,6.1,93.0,86.0,1161.0,815.0,995.0,1582.0,909.0,16.1,60.0,1.0919,87.7,Hazardous
1.5,-200.0,5.1,74.0,76.0,1095.0,767.0,1050.0,1547.0,818.0,15.8,60.5,1.0805,77.5,Hazardous
0.6,-200.0,1.7,23.0,33.0,897.0,563.0,1417.0,1355.0,472.0,16.3,57.0,1.0491,33.6,Very Unhealthy
0.3,-200.0,0.7,15.0,23.0,845.0,472.0,1786.0,1278.0,378.0,16.5,53.9,1.0049,23.3,Very Unhealthy
0.6,-200.0,2.0,41.0,46.0,942.0,586.0,1480.0,1373.0,432.0,16.4,54.0,0.9979,46.6,Hazardous
1.2,-200.0,5.1,86.0,76.0,1090.0,768.0,1072.0,1538.0,699.0,15.7,57.6,1.0195,77.2,Hazardous
1.8,-200.0,6.9,115.0,83.0,1074.0,854.0,1032.0,1484.0,772.0,17.9,38.4,0.7793,84.8,Hazardous
1.6,-200.0,7.3,124.0,87.0,1090.0,868.0,1026.0,1509.0,766.0,18.5,36.7,0.7764,88.6,Hazardous
1.9,-200.0,9.6,122.0,90.0,1110.0,964.0,947.0,1577.0,829.0,21.0,29.6,0.7263,91.9,Hazardous
2.0,-200.0,10.4,107.0,87.0,1102.0,994.0,955.0,1599.0,783.0,21.3,28.1,0.7067,89.0,Hazardous
1.1,89.0,4.3,65.0,80.0,1006.0,729.0,1142.0,1370.0,795.0,14.5,49.4,0.8106,81.1,Hazardous
0.9,73.0,3.8,53.0,72.0,982.0,700.0,1204.0,1359.0,735.0,13.8,51.4,0.8071,72.9,Hazardous
0.8,48.0,2.7,47.0,64.0,969.0,636.0,1271.0,1309.0,684.0,14.0,51.3,0.8163,64.8,Hazardous
0.7,47.0,2.5,51.0,70.0,941.0,621.0,1298.0,1330.0,714.0,13.0,56.8,0.8444,70.7,Hazardous
0.3,19.0,0.6,13.0,22.0,834.0,459.0,1908.0,1212.0,361.0,8.8,80.5,0.9147,22.3,Very Unhealthy
0.5,26.0,1.8,33.0,47.0,909.0,567.0,1542.0,1287.0,418.0,9.6,75.4,0.9004,47.5,Hazardous
1.1,60.0,4.6,103.0,88.0,1061.0,745.0,1178.0,1429.0,616.0,9.8,75.0,0.9093,89.1,Hazardous
1.9,151.0,9.3,107.0,97.0,1065.0,953.0,962.0,1514.0,790.0,13.7,49.5,0.7695,98.9,Hazardous
1.3,81.0,5.3,81.0,96.0,1000.0,776.0,1141.0,1375.0,896.0,12.0,54.9,0.7664,97.3,Hazardous
1.3,74.0,5.4,78.0,86.0,1041.0,782.0,1105.0,1425.0,911.0,11.0,61.4,0.8057,87.3,Hazardous
1.2,55.0,4.9,70.0,85.0,1045.0,756.0,1137.0,1411.0,902.0,11.1,62.2,0.8199,86.2,Hazardous
1.1,74.0,4.6,76.0,79.0,997.0,744.0,1151.0,1405.0,832.0,10.8,62.5,0.8082,80.1,Hazardous
0.9,35.0,2.7,43.0,61.0,948.0,634.0,1320.0,1326.0,715.0,11.3,60.0,0.8025,61.9,Hazardous
0.6,20.0,1.2,34.0,54.0,892.0,522.0,1572.0,1255.0,648.0,10.9,58.6,0.7628,54.6,Hazardous
0.8,32.0,1.7,43.0,57.0,954.0,561.0,1496.0,1255.0,612.0,10.8,57.2,0.7382,57.8,Hazardous
1.2,84.0,4.8,79.0,75.0,1045.0,751.0,1186.0,1403.0,800.0,10.4,59.2,0.7455,76.2,Hazardous
1.7,118.0,8.0,136.0,88.0,1138.0,898.0,950.0,1505.0,966.0,15.1,44.3,0.7535,89.7,Hazardous
1.5,118.0,6.7,117.0,85.0,1098.0,842.0,1012.0,1440.0,828.0,15.6,40.6,0.7146,86.5,Hazardous
1.7,144.0,8.7,119.0,96.0,1118.0,927.0,959.0,1477.0,825.0,16.9,34.6,0.6597,97.7,Hazardous
1.3,79.0,4.5,81.0,87.0,973.0,739.0,1186.0,1354.0,589.0,10.4,61.1,0.7717,88.3,Hazardous
1.3,81.0,4.5,80.0,89.0,997.0,737.0,1168.0,1341.0,631.0,10.3,59.9,0.7516,90.3,Hazardous
1.0,52.0,2.5,42.0,58.0,970.0,621.0,1400.0,1249.0,479.0,11.0,58.4,0.7686,59.0,Hazardous
0.7,38.0,1.8,38.0,54.0,902.0,568.0,1450.0,1253.0,479.0,9.1,68.1,0.789,54.7,Hazardous
0.5,29.0,0.9,18.0,28.0,858.0,490.0,1707.0,1212.0,378.0,9.3,72.3,0.8496,28.5,Very Unhealthy
0.5,21.0,0.6,12.0,20.0,878.0,457.0,1935.0,1158.0,344.0,9.9,66.8,0.8152,20.5,Very Unhealthy
0.6,46.0,1.4,43.0,51.0,893.0,540.0,1604.0,1268.0,413.0,7.6,83.2,0.8695,51.6,Hazardous
1.1,55.0,3.8,84.0,82.0,1038.0,697.0,1260.0,1383.0,605.0,8.1,79.0,0.8544,83.1,Hazardous
1.6,116.0,6.8,130.0,98.0,1066.0,849.0,1039.0,1468.0,829.0,11.0,64.4,0.8447,99.6,Hazardous
1.3,95.0,5.9,106.0,88.0,1027.0,809.0,1081.0,1442.0,733.0,13.6,53.0,0.8209,89.3,Hazardous
2.0,211.0,8.9,132.0,96.0,1106.0,935.0,958.0,1570.0,819.0,14.2,48.4,0.778,98.0,Hazardous
1.9,168.0,8.2,106.0,81.0,1038.0,907.0,976.0,1492.0,723.0,14.2,46.3,0.7438,82.9,Hazardous
1.9,154.0,8.6,125.0,92.0,1084.0,924.0,986.0,1501.0,786.0,16.0,41.3,0.7462,93.9,Hazardous
2.0,143.0,9.4,120.0,88.0,1102.0,957.0,968.0,1527.0,820.0,17.1,37.4,0.7225,90.0,Hazardous
1.2,67.0,4.5,75.0,92.0,979.0,736.0,1154.0,1324.0,769.0,9.9,59.5,0.7276,93.2,Hazardous
1.7,88.0,5.5,93.0,97.0,1048.0,787.0,1098.0,1373.0,835.0,9.6,61.1,0.7323,98.7,Hazardous
1.4,79.0,4.8,79.0,91.0,1024.0,753.0,1131.0,1357.0,793.0,9.7,61.6,0.7425,92.4,Hazardous
1.2,61.0,3.6,67.0,83.0,974.0,690.0,1208.0,1313.0,733.0,9.4,62.6,0.7398,84.2,Hazardous
0.7,40.0,2.2,45.0,59.0,925.0,602.0,1398.0,1263.0,562.0,8.0,69.4,0.7459,59.7,Hazardous
0.8,52.0,3.0,72.0,73.0,952.0,654.0,1210.0,1312.0,832.0,7.7,72.4,0.7655,73.8,Hazardous
0.9,64.0,4.0,103.0,78.0,1005.0,713.0,1130.0,1363.0,924.0,8.0,71.8,0.7711,78.9,Hazardous
1.6,88.0,6.7,132.0,90.0,1122.0,842.0,1015.0,1438.0,974.0,8.5,66.3,0.7375,91.6,Hazardous
2.0,181.0,11.0,112.0,97.0,1099.0,1014.0,948.0,1503.0,868.0,19.2,27.1,0.5976,99.0,Hazardous
1.9,199.0,8.4,103.0,85.0,1009.0,916.0,1015.0,1391.0,738.0,16.3,30.8,0.5683,86.9,Hazardous
1.3,81.0,5.3,89.0,75.0,962.0,776.0,1152.0,1279.0,550.0,14.2,36.8,0.5922,76.3,Hazardous
1.9,143.0,8.8,112.0,87.0,1093.0,933.0,976.0,1454.0,777.0,13.4,41.0,0.6292,88.9,Hazardous
2.6,261.0,10.6,120.0,93.0,1140.0,1000.0,916.0,1490.0,962.0,10.0,51.1,0.628,95.6,Hazardous
1.5,97.0,6.0,99.0,91.0,1001.0,811.0,1097.0,1308.0,778.0,9.8,50.8,0.6172,92.5,Hazardous
1.2,66.0,4.6,79.0,85.0,953.0,743.0,1185.0,1252.0,690.0,9.7,50.4,0.6063,86.2,Hazardous
1.1,60.0,4.1,66.0,74.0,972.0,715.0,1237.0,1258.0,644.0,9.9,50.2,0.6103,75.1,Hazardous
1.5,77.0,5.2,94.0,87.0,1021.0,776.0,1144.0,1307.0,753.0,9.4,53.4,0.63,88.5,Hazardous
1.0,57.0,3.2,70.0,79.0,940.0,664.0,1290.0,1232.0,646.0,8.6,57.8,0.6488,80.0,Hazardous
1.2,65.0,4.5,75.0,78.0,1046.0,736.0,1142.0,1312.0,838.0,8.1,62.1,0.6746,79.2,Hazardous
0.8,27.0,1.9,32.0,48.0,915.0,578.0,1417.0,1212.0,665.0,8.2,58.9,0.6444,48.8,Hazardous
0.9,25.0,2.4,54.0,59.0,935.0,615.0,1373.0,1250.0,717.0,6.3,66.6,0.641,59.9,Hazardous
1.1,42.0,3.3,68.0,65.0,976.0,669.0,1270.0,1266.0,795.0,7.2,62.9,0.6396,66.1,Hazardous
1.5,78.0,6.7,98.0,71.0,1124.0,842.0,1050.0,1418.0,936.0,7.2,63.9,0.65,72.5,Hazardous
1.8,128.0,8.5,128.0,84.0,1163.0,919.0,922.0,1530.0,1076.0,11.1,50.5,0.6654,85.8,Hazardous
2.1,184.0,9.7,129.0,93.0,1167.0,966.0,942.0,1520.0,1016.0,15.5,36.1,0.6313,95.1,Hazardous
1.9,176.0,9.0,111.0,93.0,1071.0,940.0,994.0,1449.0,756.0,17.6,30.1,0.6013,94.9,Hazardous
2.1,232.0,10.0,106.0,96.0,1065.0,979.0,950.0,1467.0,766.0,19.1,26.8,0.5861,98.1,Hazardous
1.6,125.0,6.8,102.0,96.0,1108.0,848.0,1023.0,1421.0,1003.0,11.8,50.8,0.7042,97.6,Hazardous
2.3,101.0,8.3,111.0,97.0,1274.0,912.0,939.0,1451.0,1188.0,10.3,58.1,0.7278,99.3,Hazardous
1.7,95.0,6.3,87.0,79.0,1135.0,827.0,1013.0,1395.0,1070.0,9.3,62.2,0.7294,80.7,Hazardous
1.3,96.0,5.1,77.0,69.0,1010.0,769.0,1110.0,1396.0,895.0,8.3,64.9,0.7124,70.3,Hazardous
0.8,54.0,2.6,39.0,52.0,870.0,626.0,1325.0,1284.0,755.0,9.6,58.5,0.7,52.8,Hazardous
1.1,63.0,3.6,77.0,62.0,983.0,688.0,1251.0,1342.0,806.0,7.7,66.4,0.699,63.1,Hazardous
1.4,72.0,3.6,91.0,69.0,995.0,691.0,1219.0,1321.0,836.0,7.4,68.0,0.7043,70.4,Hazardous
1.3,91.0,4.7,105.0,75.0,1024.0,747.0,1136.0,1382.0,897.0,9.7,58.6,0.7035,76.3,Hazardous
1.9,127.0,7.5,133.0,83.0,1163.0,880.0,959.0,1486.0,1073.0,12.5,50.1,0.7242,84.9,Hazardous
2.3,193.0,9.0,128.0,94.0,1218.0,938.0,918.0,1501.0,1088.0,16.8,36.9,0.7018,96.3,Hazardous
2.3,188.0,9.5,126.0,96.0,1210.0,958.0,933.0,1514.0,1036.0,19.2,31.3,0.6887,98.3,Hazardous
1.8,151.0,7.7,92.0,86.0,1114.0,887.0,1020.0,1438.0,768.0,21.3,26.4,0.6607,87.8,Hazardous
1.4,103.0,5.7,66.0,72.0,995.0,796.0,1159.0,1287.0,587.0,21.2,23.1,0.5768,73.4,Hazardous
1.0,55.0,3.8,50.0,53.0,927.0,700.0,1285.0,1189.0,452.0,18.6,25.0,0.5319,54.0,Hazardous
1.4,104.0,4.8,70.0,65.0,1002.0,754.0,1189.0,1260.0,470.0,18.0,27.3,0.5594,66.4,Hazardous
1.3,116.0,4.3,73.0,70.0,987.0,727.0,1213.0,1244.0,502.0,18.2,28.3,0.5848,71.3,Hazardous
1.3,93.0,4.1,77.0,75.0,993.0,714.0,1217.0,1238.0,516.0,17.0,31.4,0.6048,76.3,Hazardous
1.4,93.0,4.7,86.0,86.0,1012.0,746.0,1174.0,1301.0,555.0,15.6,35.0,0.617,87.4,Hazardous
1.9,155.0,6.2,93.0,94.0,1114.0,823.0,1068.0,1357.0,671.0,14.1,40.2,0.6438,95.9,Hazardous
1.1,75.0,3.3,67.0,81.0,968.0,669.0,1261.0,1246.0,538.0,12.3,46.8,0.6686,82.1,Hazardous
1.1,65.0,3.2,63.0,80.0,960.0,666.0,1266.0,1224.0,544.0,11.9,46.5,0.6449,81.1,Hazardous
1.1,57.0,2.9,63.0,77.0,942.0,648.0,1300.0,1204.0,500.0,11.5,46.6,0.6319,78.1,Hazardous
0.9,40.0,2.2,46.0,58.0,888.0,598.0,1396.0,1156.0,417.0,10.6,48.0,0.6135,58.9,Hazardous
0.6,27.0,1.3,21.0,31.0,818.0,524.0,1588.0,1071.0,341.0,10.7,45.8,0.5895,31.6,Very Unhealthy
0.5,23.0,1.1,22.0,38.0,840.0,509.0,1643.0,1076.0,352.0,10.4,46.6,0.5901,38.5,Very Unhealthy
0.6,21.0,1.2,39.0,59.0,864.0,516.0,1496.0,1153.0,502.0,11.3,46.9,0.628,59.6,Hazardous
0.7,33.0,1.7,55.0,70.0,898.0,559.0,1441.0,1180.0,648.0,10.1,51.2,0.6341,70.7,Hazardous
0.9,40.0,2.9,76.0,75.0,946.0,643.0,1309.0,1232.0,760.0,9.9,50.7,0.6167,75.9,Hazardous
1.5,147.0,5.5,118.0,98.0,966.0,786.0,1111.0,1258.0,705.0,11.8,37.6,0.5184,99.5,Hazardous
1.5,97.0,5.6,119.0,97.0,975.0,793.0,1133.0,1254.0,637.0,13.9,33.2,0.5222,98.5,Hazardous
1.5,118.0,5.8,123.0,98.0,988.0,803.0,1105.0,1293.0,658.0,15.6,30.1,0.5285,99.5,Hazardous
1.4,91.0,5.5,92.0,78.0,971.0,786.0,1129.0,1272.0,546.0,16.5,29.0,0.5406,79.4,Hazardous
1.6,146.0,6.5,91.0,83.0,1010.0,833.0,1070.0,1332.0,561.0,17.5,27.9,0.5517,84.6,Hazardous
1.5,139.0,5.5,103.0,92.0,984.0,790.0,1131.0,1268.0,532.0,17.9,26.8,0.5446,93.5,Hazardous
1.4,155.0,5.2,102.0,81.0,962.0,776.0,1131.0,1247.0,535.0,18.2,26.1,0.5387,82.4,Hazardous
1.5,128.0,5.8,94.0,90.0,1012.0,801.0,1098.0,1289.0,525.0,18.0,27.1,0.5522,91.5,Hazardous
1.9,166.0,7.9,98.0,95.0,1058.0,896.0,996.0,1358.0,603.0,17.0,28.9,0.5558,96.9,Hazardous
1.2,80.0,3.8,78.0,90.0,949.0,700.0,1221.0,1178.0,553.0,13.1,34.4,0.517,91.2,Hazardous
1.1,58.0,4.0,61.0,82.0,930.0,710.0,1278.0,1137.0,509.0,13.5,28.5,0.4405,83.1,Hazardous
1.0,55.0,2.8,55.0,74.0,900.0,643.0,1339.0,1089.0,455.0,12.4,31.9,0.4583,75.0,Hazardous
1.0,33.0,2.6,57.0,76.0,899.0,630.0,1418.0,1050.0,425.0,13.1,26.8,0.4023,77.0,Hazardous
0.7,33.0,1.8,41.0,66.0,866.0,569.0,1468.0,1055.0,436.0,11.6,33.6,0.4595,66.7,Hazardous
0.7,32.0,1.7,46.0,73.0,900.0,563.0,1402.0,1130.0,618.0,10.5,42.9,0.5442,73.7,Hazardous
0.7,26.0,2.3,52.0,71.0,956.0,605.0,1341.0,1117.0,691.0,12.9,33.9,0.5037,71.7,Hazardous
1.1,86.0,5.3,111.0,98.0,1054.0,779.0,1080.0,1266.0,1013.0,11.3,40.3,0.5376,99.1,Hazardous
2.2,245.0,10.4,138.0,97.0,1185.0,992.0,942.0,1448.0,1014.0,20.9,21.7,0.5295,99.2,Hazardous
1.9,178.0,8.0,118.0,91.0,1122.0,897.0,991.0,1372.0,831.0,19.1,26.5,0.579,92.9,Hazardous
1.6,130.0,6.2,99.0,81.0,1085.0,820.0,1060.0,1325.0,699.0,18.1,30.6,0.6295,82.6,Hazardous
1.3,95.0,4.7,73.0,84.0,1073.0,746.0,1072.0,1360.0,789.0,15.0,46.1,0.7833,85.3,Hazardous
1.2,68.0,3.8,68.0,81.0,1053.0,701.0,1147.0,1323.0,692.0,15.1,44.6,0.7574,82.2,Hazardous
1.5,101.0,4.7,80.0,91.0,1098.0,747.0,1094.0,1360.0,764.0,14.9,43.5,0.7302,92.5,Hazardous
1.3,81.0,3.8,68.0,82.0,1029.0,702.0,1180.0,1287.0,639.0,14.8,41.0,0.685,83.3,Hazardous
1.0,50.0,2.7,44.0,64.0,973.0,631.0,1287.0,1240.0,541.0,14.8,40.8,0.6814,65.0,Hazardous
0.9,66.0,2.8,47.0,70.0,972.0,639.0,1222.0,1256.0,678.0,14.8,40.8,0.6834,70.9,Hazardous
0.5,18.0,0.8,15.0,26.0,851.0,477.0,1699.0,1064.0,343.0,14.5,36.1,0.5928,26.5,Very Unhealthy
0.6,31.0,1.5,44.0,58.0,909.0,545.0,1473.0,1131.0,436.0,14.6,36.0,0.5947,58.6,Hazardous
1.0,57.0,3.5,85.0,93.0,1038.0,684.0,1220.0,1279.0,688.0,14.4,38.5,0.6291,94.0,Hazardous
1.5,109.0,5.5,81.0,91.0,1060.0,787.0,1044.0,1418.0,833.0,12.6,57.0,0.8315,92.5,Hazardous
1.4,105.0,5.1,60.0,79.0,1050.0,769.0,1078.0,1409.0,759.0,12.3,57.8,0.8224,80.4,Hazardous
1.2,84.0,4.8,57.0,79.0,1029.0,754.0,1098.0,1395.0,749.0,12.0,58.4,0.8164,80.2,Hazardous
1.6,106.0,6.3,96.0,86.0,1143.0,825.0,986.0,1477.0,978.0,12.0,61.6,0.8593,87.6,Hazardous
